suite,kernel,njit_variant,fastmath,boundscheck,style,baseline_llvm,baseline_gflops,suggested_llvm,suggested_gflops,reason,speedup
polybench,3mm,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,1.802649113951775,llvm_O3_loopvec,1.802649113951775,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,3mm,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,1.4754685978173463,llvm_O3_vec_forcewidth2,1.515489836455155,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0271244258922296
polybench,atax,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,2.0693399492663,llvm_O3_vec_forcewidth2,2.5334591181125514,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.2242836750968868
polybench,atax,njit_default,False,False,vectorizable,llvm_O3_loopvec,2.6674602857501197,llvm_O3_loopvec,2.6674602857501197,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,atax,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,3.565666105579757,llvm_O3_loopvec,3.565666105579757,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,atax,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,2.6121575807221595,llvm_O3_vec_forcewidth2,2.66388338229716,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",1.0198019453178242
polybench,bicg,njit_boundscheck,False,True,vectorizable,llvm_O3_loopvec,2.8941451462537464,llvm_O3_vec_forcewidth2,2.8909877965886506,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9989090562133061
polybench,bicg,njit_default,False,False,vectorizable,llvm_O3_loopvec,4.284830993946982,llvm_O3_loopvec,4.284830993946982,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,bicg,njit_fastmath,True,False,vectorizable,llvm_O3_loopvec,5.955175998868059,llvm_O3_loopvec,5.955175998868059,"style=vectorizable, boundscheck=False -> llvm_O3_loopvec (measured avg 95.5% of peak across the sweep)",1.0
polybench,bicg,njit_fastmath_boundscheck,True,True,vectorizable,llvm_O3_loopvec,2.9115396010455266,llvm_O3_vec_forcewidth2,2.898561292458192,"style=vectorizable, boundscheck=True -> llvm_O3_vec_forcewidth2 (measured avg 96.3% of peak across the sweep)",0.9955424585045403
